Supplier,VAT Exclusive,VAT,Zimasa VAT Inclusive,Date
"Ind: Indaba Hotel, Spa And Conference Centre",3352.09,,3854.9,2023-07-01
Lbc: Limbali Cottages,1130.43,,1300.0,2023-07-01
Lng: Lala @ Night Guesthouse,1521.74,,1750.0,2023-07-01
Mcg: Modcharm Guesthouse( Mogwasi),2608.7,,3000.0,2023-07-01
Mgh: Masego Guest House,2260.86,,2600.0,2023-07-01
Mjm: Mercure Johannesburg Midrand Hotel,5321.74,,6120.0,2023-07-01
Pfi: Protea Fire & Ice Menlyn,5780.87,,6648.0,2023-07-01
Protea By Marriott,8711.3,,10018.0,2023-07-01
Protea By Marriott,3078.26,,3540.0,2023-07-01
Pmh: Peermont Metcourt Hotel,17217.39,,19800.0,2023-07-01
Protea By Marriott,4747.83,,5460.0,2023-07-01
Rgh: The Regency Apartment Hotel | Menlyn,8260.87,,9500.0,2023-07-01
Rgl: Rejabotlhe Guest Lodge,1260.87,,1450.0,2023-07-01
Southern Sun,73721.78,,84780.04,2023-07-01
Southern Sun,2920.14,,3358.15,2023-07-01
Southern Sun,11200.0,,12880.0,2023-07-01
Southern Sun,8991.3,,10340.0,2023-07-01
Str: Stayeasy Rustenburg,4017.89,,4620.57,2023-07-01
Tfc: Touch Of Class Guest House,14880.0,,17112.0,2023-07-01
"Tfh: The Fairway Hotel, Spa And Golf Resort",1226.52,,1410.5,2023-07-01
Tgv: The Garden Venue Hotel,2695.65,,3100.0,2023-07-01
Toh: Three Oaks And An Aloe Boutique Hotel,7369.57,,8475.0,2023-07-01
Trm: The Royal Marang Hotel,93739.13,,107800.0,2023-07-01
Wgh: The Willows Garden Hotel,3769.57,,4335.0,2023-07-01
Anew Hotel,32695.65,4904.35,37600.0,2023-08-01
Anew Hotel,3330.78,499.62,3830.4,2023-08-01
Avis (Avs),23706.36,1948.55,25654.91,2023-08-01
Cascades Hotel (Csh),26817.39,4022.61,30840.0,2023-08-01
City Lodge Hotel,21717.39,3257.61,24975.0,2023-08-01
City Lodge Hotel,31913.04,4786.96,36700.0,2023-08-01
City Lodge Hotel,13991.3,2098.7,16090.0,2023-08-01
City Lodge Hotel,8678.26,1301.74,9980.0,2023-08-01
Gromans Rest Guesthouse (Rrg),8700.0,1305.0,10005.0,2023-08-01
Hertz Or Tambo Or Tambo (Htz),3535.7,530.35,4066.05,2023-08-01
Illovo Hotel Gibs Business School (Ilv),4824.35,723.65,5548.0,2023-08-01
Jade Garden Guest House (Jgg),4347.83,652.17,5000.0,2023-08-01
Kings Gate Hotel (Knd),2782.61,417.39,3200.0,2023-08-01
Komodo Guest House (Kmd),956.52,143.48,1100.0,2023-08-01
La Maison De Veille Guest House (Lmd),1130.43,169.57,1300.0,2023-08-01
Le Grand Chateau (Lgc),3765.22,564.78,4330.0,2023-08-01
Mon-Aé Guest House Klerksdorp (Mgk),9565.22,1434.78,11000.0,2023-08-01
Palm Swift,1130.43,169.57,1300.0,2023-08-01
Patong Guest Lodge (Pgl),8321.74,1248.26,9570.0,2023-08-01
Protea By Marriott,44936.52,6740.48,51677.0,2023-08-01
Road Lodge Rustenburg (Rdr),66900.87,10035.13,76936.0,2023-08-01
S A Airways (083),21095.0,3164.25,24259.25,2023-08-01
"Signature Lux Hotel By Onomo, Sandton (Slh)",8947.83,1342.17,10290.0,2023-08-01
Southern Sun,4302.43,645.37,4947.8,2023-08-01
Southern Sun,0.0,0.0,0.0,2023-08-01
Stayeasy Rustenburg (Str),5887.97,883.19,6771.16,2023-08-01
Stonehenge River Lodge (Sth),291581.76,43737.3,335319.06,2023-08-01
Sun City,43095.65,6464.35,49560.0,2023-08-01
The Capital,8220.87,1233.13,9454.0,2023-08-01
The Capital,7721.74,1158.26,8880.0,2023-08-01
The Royal Marang Hotel (Trm),48715.66,7307.34,56023.0,2023-08-01
Three Oaks And An Aloe Boutique Hotel (Toh),7443.48,1116.52,8560.0,2023-08-01
Town Lodge,3365.52,503.48,3860.0,2023-08-01
20 On 4Th Luxury Upmarket Homestay (Lum),,348.26,2670.0,2023-09-01
Airlink Airline (820),,1050.0,8050.0,2023-09-01
Andante Guesthouse (Ang),,311.74,2390.0,2023-09-01
Anew Hotel,,9605.21,73640.0,2023-09-01
Anew Resort,,273.91,3870.0,2023-09-01
Avis (Avs),,1986.0,15225.98,2023-09-01
Bakubung Bush Lodge (Bkb),,478.17,3666.0,2023-09-01
Be@Home,,476.09,3650.0,2023-09-01
Bono Luxury Guesthouse (Bnl),,273.91,2100.0,2023-09-01
Casa Grand Bb (Cgd),,639.13,4900.0,2023-09-01
City Living Boutique Hotel (Ctl),,569.35,4365.0,2023-09-01
City Lodge Hotel,,1296.52,9940.0,2023-09-01
City Lodge Hotel,,547.57,4198.0,2023-09-01
Elrose Guest House (Elr),,1323.91,10150.0,2023-09-01
"Emperors Palace Hotels, Casino And Convention Reso (Eph)",,1197.39,9180.0,2023-09-01
Fly Safair (640),,14693.41,111775.85,2023-09-01
Garden Court,,420.0,3220.0,2023-09-01
Garden Court,,2520.0,19320.0,2023-09-01
Garden Court,,2582.61,19800.0,2023-09-01
Garden Court,,598.7,4590.0,2023-09-01
Gettys Bed And Breakfast (Ggh),,610.43,4680.0,2023-09-01
Green Side Accomodation (Gs),,187.83,1440.0,2023-09-01
Hertz Or Tambo Or Tambo (Htz),,4746.64,36391.0,2023-09-01
Hertz Rent A Car  Mahikeng Mahikeng (Hrm),,1309.57,10040.0,2023-09-01
Hertz Rent A Car - Cape Town International Airport (Hrc),,2911.3,22320.0,2023-09-01
Hotel Sky Sandton (Hss),,174.39,1337.0,2023-09-01
Illovo Hotel Gibs Business School (Ilv),,926.54,7103.5,2023-09-01
Intercape Cape Town,,75708.52,580432.09,2023-09-01
Kassaboera Lodge (Kl),,691.31,5300.0,2023-09-01
Kenzo Guest House (Kgh),,378.26,2900.0,2023-09-01
Komodo Guest House (Kmd),,195.65,1500.0,2023-09-01
Kriel Bed & Breakfast (Krl),,926.08,7100.0,2023-09-01
Kwa Maritane Bush Lodge (Kmb),,1846.95,14160.0,2023-09-01
La Maison De Veille Guest House (Lmd),,4069.57,31200.0,2023-09-01
Lala @ Night Guesthouse (Lng),,1310.87,10050.0,2023-09-01
Limbali Cottages (Lbc),,5256.53,40300.0,2023-09-01
Masego Guest House (Mgh),,2034.79,15600.0,2023-09-01
Modizen Guest House (Mdz),,180.0,1380.0,2023-09-01
Mon-Aé Guest House Klerksdorp (Mgk),,352.17,2700.0,2023-09-01
Palm Swift,,326.09,2500.0,2023-09-01
Park Inn By Radisson Polokwane (Pib),,827.61,6345.0,2023-09-01
Protea By Marriott,,461.74,3540.0,2023-09-01
Protea By Marriott,,5347.93,41000.85,2023-09-01
Protea By Marriott,,1185.53,9089.1,2023-09-01
Protea By Marriott,,13030.43,99900.0,2023-09-01
Protea Fire & Ice Menlyn (Pfi),,457.94,3510.9,2023-09-01
Protea Hotel By Marriot Klerksdorp (Pkk),,223.04,1710.0,2023-09-01
Rejabotlhe Guest House (Rjb),,6808.69,52200.0,2023-09-01
Rio Hotel Casino Resort (Rhc),,446.09,3420.0,2023-09-01
Road Lodge Potchefstoom (Rdp),,615.65,4720.0,2023-09-01
Royal Aloe Lodge (Ral),,1197.39,9180.0,2023-09-01
